state_name,women_bank_account_pct,female_literacy_nfhs,male_literacy_nfhs,female_workforce_pct_nfhs,women_mobile_pct,electricity_access_pct,clean_water_pct,women_property_ownership_pct,literacy_gender_gap
Andaman and Nicobar Islands,89.15,86.1,92.0,25.900000000000002,80.85,98.0,96.65,15.149999999999999,5.900000000000006
Andhra Pradesh,83.15,71.4,81.35,40.5,54.150000000000006,99.5,97.4,46.0,9.949999999999989
Arunachal Pradesh,81.35,75.95,87.95,23.3,78.6,96.75,95.5,70.05,12.0
Assam,79.9,81.45,87.69999999999999,18.25,64.65,95.25,88.65,40.099999999999994,6.249999999999986
Bihar,77.65,64.7,80.5,12.25,55.55,96.25,99.35,54.55,15.799999999999997
Chandigarh,87.1,10.600000000000001,90.2,22.0,70.0,99.95,99.55,30.4,79.6
Chhattisgarh,79.5,76.25,83.4,35.5,47.6,99.05,96.65,45.8,7.150000000000006
Delhi,-6.25,85.69999999999999,-1.6499999999999986,3.9000000000000004,-3.6499999999999986,99.9,98.75,-2.3999999999999986,-87.35
Goa,88.75,93.0,96.7,31.55,90.8,100.0,98.4,23.25,3.700000000000003
Gujarat,70.5,77.9,91.45,30.25,51.1,97.80000000000001,97.55000000000001,42.45,13.549999999999997
Haryana,74.35,81.2,91.94999999999999,19.8,54.25,99.65,98.75,38.35,10.749999999999986
Himachal Pradesh,85.5,93.1,93.55000000000001,27.0,84.35,99.25,97.15,22.25,0.45000000000001705
Jammu and Kashmir,86.0,79.5,91.6,18.3,76.85,99.45,93.94999999999999,54.5,12.099999999999994
Jharkhand,79.5,67.85,84.7,18.25,54.45,95.95,89.35,61.95,16.85000000000001
Karnataka,88.95,78.05,88.75,35.95,63.8,99.15,95.69999999999999,67.1,10.700000000000003
Kerala,78.55000000000001,98.3,98.30000000000001,25.8,86.55000000000001,99.6,95.0,27.25,1.4210854715202004e-14
Ladakh,87.95,77.15,93.05000000000001,28.450000000000003,81.0,99.3,91.95,71.0,15.900000000000006
Lakshadweep,66.95,96.6,98.15,11.65,82.6,99.85,90.65,30.25,1.5500000000000114
Madhya Pradesh,75.9,70.35,83.5,25.6,45.099999999999994,98.7,91.80000000000001,38.55,13.150000000000006
Maharashtra,72.95,84.85,93.05,34.35,55.650000000000006,97.9,93.9,22.8,8.200000000000003
Manipur,74.65,88.44999999999999,95.45,41.75,73.0,98.3,79.65,58.25,7.000000000000014
Meghalaya,73.1,91.3,87.2,41.1,71.25,93.94999999999999,84.6,58.949999999999996,-4.099999999999994
Mizoram,80.2,93.4,96.7,29.2,81.19999999999999,98.0,95.5,21.45,3.299999999999997
Nagaland,66.65,87.1,94.2,24.65,84.65,98.8,91.65,26.15,7.1000000000000085
Odisha,85.1,74.30000000000001,86.1,25.950000000000003,53.4,97.85,93.55,40.45,11.799999999999983
Puducherry,93.80000000000001,89.05000000000001,94.35,40.099999999999994,81.05,99.85,99.9,37.55,5.299999999999983
Punjab,81.5,79.8,87.1,22.9,62.95,99.69999999999999,98.95,62.55,7.299999999999997
Rajasthan,80.35,70.0,89.7,17.25,55.4,98.7,97.35,26.55,19.700000000000003
Sikkim,76.35,89.5,93.6,33.7,90.1,99.3,93.75,53.75,4.099999999999994
Tamil Nadu,92.2,84.25,90.8,40.45,75.05000000000001,99.35,98.6,47.6,6.549999999999997
Telangana,84.1,69.55,85.75,41.85,62.900000000000006,99.6,98.9,64.2,16.200000000000003
The Dadra and Nagar Haveli and Daman and Diu,83.65,77.80000000000001,93.5,31.5,60.45,99.7,95.55000000000001,55.8,15.699999999999989
Tripura,76.30000000000001,83.4,89.75,20.85,57.1,98.55000000000001,91.1,17.05,6.349999999999994
Uttar Pradesh,76.94999999999999,69.8,82.65,16.25,51.15,93.25,99.25,50.15,12.850000000000009
Uttarakhand,80.55,80.7,88.8,21.2,64.4,99.65,96.9,24.200000000000003,8.099999999999994
West Bengal,78.05000000000001,77.95,83.8,20.2,55.5,97.94999999999999,97.75,23.6,5.849999999999994
